"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-08-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-08-08,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-08,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-08-08,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-13,801,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-08-13,802,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-13,803,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-08-13,804,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-13,805,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2012-08-20,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-08-20,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-20,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-08-20,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-20,205,295,,2,,"295 lb || 2 reps","131"
"Barbell Squat",2012-08-24,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-08-24,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-24,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-08-24,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-24,205,295,,2,,"295 lb || 2 reps","131"
"Barbell Squat",2012-08-31,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-08-31,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-08-31,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-08-31,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-08-31,205,295,,2,,"295 lb || 2 reps","131"
"Barbell Squat",2012-09-05,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-05,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-05,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-05,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-05,205,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2012-09-08,801,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-08,802,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-08,803,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-08,804,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-08,805,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2012-09-14,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-14,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-14,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-14,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-14,205,295,,3,,"295 lb || 3 reps","155"
"Barbell Squat",2012-09-19,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-19,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-19,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-19,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-19,205,295,,2,,"295 lb || 2 reps","131"
"Barbell Squat",2012-09-24,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-24,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-24,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-24,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-24,205,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2012-09-27,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-09-27,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-09-27,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-09-27,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-09-27,205,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2012-10-03,201,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-10-03,202,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-03,203,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-03,204,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-03,205,305,,3,,"305 lb || 3 reps","166"
"Barbell Squat",2012-10-07,301,135,,10,,"135 lb || 10 reps","77"
"Barbell Squat",2012-10-07,302,185,,20,,"185 lb || 20 reps","121"
"Barbell Squat",2012-10-09,201,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-09,202,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-09,203,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-09,204,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-10-09,205,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2012-10-13,201,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-13,202,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-13,203,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-13,204,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-10-13,205,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2012-10-16,401,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-16,402,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-16,403,225,,20,,"225 lb || 20 reps","159"
"Barbell Squat",2012-10-19,201,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-19,202,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-19,203,230,,20,,"230 lb || 20 reps","164"
"Barbell Squat",2012-10-20,201,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-20,202,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-20,203,235,,15,,"235 lb || 15 reps","161"
"Barbell Squat",2012-10-29,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-29,202,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-29,203,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-29,204,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-10-29,205,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-10-29,206,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2012-10-29,207,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-11-01,501,45,,2,,"45 lb || 2 reps","24"
"Barbell Squat",2012-11-01,502,45,,2,,"45 lb || 2 reps","24"
"Barbell Squat",2012-11-01,503,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-01,504,185,,4,,"185 lb || 4 reps","84"
"Barbell Squat",2012-11-01,505,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-01,506,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-11-01,507,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-11-01,508,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2012-11-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-06,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-06,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-06,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-06,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-06,6,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2012-11-06,7,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2012-11-06,8,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2012-11-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-08,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-08,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-08,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-08,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-08,6,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2012-11-08,7,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2012-11-08,8,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2012-11-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-10,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-10,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-10,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-10,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-10,6,290,,5,,"290 lb || 5 reps","187"
"Barbell Squat",2012-11-10,7,290,,5,,"290 lb || 5 reps","187"
"Barbell Squat",2012-11-10,8,290,,4,,"290 lb || 4 reps","171"
"Barbell Squat",2012-11-13,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-13,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-13,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-13,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-13,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-13,6,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2012-11-13,7,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2012-11-13,8,295,,5,,"295 lb || 5 reps","194"
"Barbell Squat",2012-11-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-15,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-15,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-15,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-15,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-15,6,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2012-11-15,7,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2012-11-15,8,300,,5,,"300 lb || 5 reps","200"
"Barbell Squat",2012-11-15,9,225,,10,,"225 lb || 10 reps","142"
"Barbell Squat",2012-11-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-18,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-18,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-18,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-18,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-18,6,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2012-11-18,7,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2012-11-18,8,305,,5,,"305 lb || 5 reps","207"
"Barbell Squat",2012-11-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-21,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-21,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-21,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-21,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-21,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-21,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-21,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-11-21,6,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2012-11-21,6,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2012-11-21,7,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2012-11-21,7,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2012-11-21,8,315,,5,,"315 lb || 5 reps","222"
"Barbell Squat",2012-11-21,8,310,,5,,"310 lb || 5 reps","214"
"Barbell Squat",2012-11-26,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-26,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-26,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-26,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-26,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-11-26,6,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2012-11-26,7,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2012-11-26,8,320,,5,,"320 lb || 5 reps","229"
"Barbell Squat",2012-11-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-29,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-11-29,3,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2012-11-29,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2012-11-29,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-11-29,6,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2012-11-29,7,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2012-11-29,8,325,,5,,"325 lb || 5 reps","237"
"Barbell Squat",2012-11-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-30,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-11-30,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-30,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2012-11-30,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-11-30,6,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2012-11-30,7,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2012-11-30,8,330,,5,,"330 lb || 5 reps","245"
"Barbell Squat",2012-12-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-01,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-01,3,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2012-12-01,4,205,,3,,"205 lb || 3 reps","85"
"Barbell Squat",2012-12-01,5,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2012-12-01,6,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2012-12-01,7,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2012-12-01,8,335,,5,,"335 lb || 5 reps","254"
"Barbell Squat",2012-12-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-12-04,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-12-04,3,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2012-12-04,4,215,,3,,"215 lb || 3 reps","90"
"Barbell Squat",2012-12-04,5,275,,2,,"275 lb || 2 reps","114"
"Barbell Squat",2012-12-04,6,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2012-12-04,7,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2012-12-04,8,340,,5,,"340 lb || 5 reps","262"
"Barbell Squat",2013-02-03,201,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-03,202,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2013-02-03,203,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-03,204,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2013-02-03,205,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2013-02-03,206,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-02-03,207,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-02-03,208,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2013-02-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2013-02-06,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2013-02-06,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2013-02-06,4,185,,3,,"185 lb || 3 reps","74"
